Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
4.0009;Активатор (ребро барабана) Indesit C00065463 (не оригинал);;Активатор (ребро барабана) Indesit C00065463 (не оригинал);u;110;UAH;шт.;1;110;2;;+;;;;;;1.68.0056;;
4.0001;Активатор (ребро барабана) Samsung DC97-02051D;;Активатор (ребро барабана) Samsung DC97-02051D;u;185;UAH;шт.;1;185;2;;+;;;;;;1.68.0031;;
4.0006;Активатор (Ребро) в барабан Elecrolux Zanussi Без груза;;Активатор (Ребро) в барабан Elecrolux Zanussi Без груза;u;248;UAH;шт.;1;248;2;;+;;;;;;1.68.0001;;
4.0007;Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал;;Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал;u;175;UAH;шт.;1;175;2;;+;;;;;;1.68.0063;;
1.007;Амортизатор 100N Samsung DC66-00343G Original;;Амортизатор 100N Samsung DC66-00343G Original;u;120;UAH;шт.;1;120;2;;+;;;;;;1.22.0006;;
1.020;Амортизатор 120N Bosch Miele 107654;;Амортизатор 120N Bosch Miele 107654;u;150;UAH;шт.;1;150;2;;+;;;;;;1.22.0168;;
1.022;Амортизатор 120N Miele Bosch;;Амортизатор 120N Miele Bosch;u;214;UAH;шт.;1;214;2;;+;;;;;;1.22.0159;;
1.017;Амортизатор 40N Samsung DC66-00343E;;Амортизатор 40N Samsung DC66-00343E;u;114;UAH;шт.;1;114;2;;+;;;;;;1.22.0118;;
1.029;Амортизатор 60N Zanussi Electrolux 132255383 (не оригинал);;Амортизатор 60N Zanussi Electrolux 132255383 (не оригинал);u;120;UAH;шт.;1;120;2;;+;;;;;;1.22.0191;;
1.023;Амортизатор 70N Samsung DC66-00531A;;Амортизатор 70N Samsung DC66-00531A;u;170;UAH;шт.;1;170;2;;+;;;;;;1.22.0149;;
1.028;Амортизатор Beko 2803250100 (без ор. упаковки);;Амортизатор Beko 2803250100 (без ор. упаковки);u;175;UAH;шт.;1;175;2;;+;;;;;;1.22.0175;;
1.002;амортизатор Bosch 481932 не оригинал;;амортизатор Bosch 481932 не оригинал;u;138;UAH;шт.;1;138;2;;+;;;;;;1.22.0066;;
1.001;Амортизатор Bosch Maxx пластиковый на защелках;;Амортизатор Bosch Maxx пластиковый на защелках;u;104;UAH;шт.;1;104;2;;+;;;;;;1.22.0053;;
1.012;Амортизатор Bosch квадрат 673541 (не оригинал);;Амортизатор Bosch квадрат 673541 (не оригинал);u;158;UAH;шт.;1;158;2;;+;;;;;;1.22.0036;;
1.014;Амортизатор Electrolux 1322553015 (аналог);;Амортизатор Electrolux 1322553015 (аналог);u;108;UAH;шт.;1;108;2;;+;;;;;;1.22.0111;;
1.008;Амортизатор Indesit 100N;;Амортизатор Indesit 100N;u;115;UAH;шт.;1;115;2;;+;;;;;;1.22.0013;;
1.019;Амортизатор Indesit 120N (Производство CIMA - Италия);;Амортизатор Indesit 120N (Производство CIMA - Италия);u;115;UAH;шт.;1;115;2;;+;;;;;;1.22.0192;;
1.025;Амортизатор Indesit Ariston 120N C00055039 (без упаковки).;;Амортизатор Indesit Ariston 120N C00055039 (без упаковки).;u;145;UAH;шт.;1;145;2;;+;;;;;;1.22.0080;;
1.026;Амортизатор Indesit Ariston C00140744 Original;;Амортизатор Indesit Ariston C00140744 Original;u;140;UAH;шт.;1;140;2;;+;;;;;;1.22.0039;;
1.021;Амортизатор Indesit Ariston Original на гайке, 120N;;Амортизатор Indesit Ariston Original на гайке, 120N;u;215;UAH;шт.;1;215;2;;+;;;;;;1.22.0015;;
1.010;Амортизатор Indesit Ariston Zanussi Electrolux пластиковый SUSPA;;Амортизатор Indesit Ariston Zanussi Electrolux пластиковый SUSPA;u;163;UAH;шт.;1;163;2;;+;;;;;;1.22.0017;;
1.011;Амортизатор Indesit на гайке, 80N;;Амортизатор Indesit на гайке, 80N;u;175;UAH;шт.;1;175;2;;+;;;;;;1.22.0008;;
1.015;Амортизатор LG 100N Original;;Амортизатор LG 100N Original;u;130;UAH;шт.;1;130;2;;+;;;;;;1.22.0005;;
1.030;Амортизатор LG 100N (Производство ANSA - Италия);;Амортизатор LG 100N (Производство ANSA - Италия);u;130;UAH;шт.;1;130;2;;+;;;;;;1.22.0103;;
1.003;Амортизатор LG 120N не оригинал;;Амортизатор LG 120N не оригинал;u;120;UAH;шт.;1;120;2;;+;;;;;;1.22.0027;;
1.004;Амортизатор Samsung 100N (не оригинал);;Амортизатор Samsung 100N (не оригинал);u;125;UAH;шт.;1;125;2;;+;;;;;;1.22.0011;;
1.031;Амортизатор Samsung 60N DC66-00343C;;Амортизатор Samsung 60N DC66-00343C;u;130;UAH;шт.;1;130;2;;+;;;;;;1.22.0110;;
1.024;Амортизатор Samsung DC66-00343H;;Амортизатор Samsung DC66-00343H;u;318;UAH;шт.;1;318;2;;+;;;;;;1.22.0073;;
1.005;Амортизатор Samsung короткий 100N DC66-00661A;;Амортизатор Samsung короткий 100N DC66-00661A;u;245;UAH;шт.;1;245;2;;+;;;;;;1.22.0022;;
1.006;Амортизатор Whirlpool на защелках, 100 N;;Амортизатор Whirlpool на защелках, 100 N;u;114;UAH;шт.;1;114;2;;+;;;;;;1.22.0004;;
1.027;Амортизатор Whirlpool на защелках 481252918043;;Амортизатор Whirlpool на защелках 481252918043;u;145;UAH;шт.;1;145;2;;+;;;;;;1.22.0040;;
1.018;Амортизатор Zanussi 80N 1268832712 (не оригинал);;Амортизатор Zanussi 80N 1268832712 (не оригинал);u;125;UAH;шт.;1;125;2;;+;;;;;;1.22.0099;;
1.009;Амортизатор металлический, сопротивление 120N;;Амортизатор металлический, сопротивление 120N;u;125;UAH;шт.;1;125;2;;+;;;;;;1.22.0007;;
1.016;Амортизатор металлический, средн. болт M8;;Амортизатор металлический, средн. болт M8;u;125;UAH;шт.;1;125;2;;+;;;;;;1.22.0003;;
1.013;Амортизатор пластиковый 80N;;Амортизатор пластиковый 80N;u;120;UAH;шт.;1;120;2;;+;;;;;;1.22.0010;;
1.032;Амортизатор совместимый с Indesit Ariston C00140744;;Амортизатор совместимый с Indesit Ariston C00140744;u;115;UAH;шт.;1;115;2;;+;;;;;;1.22.0038;;
23.0011;Вставка в ручку Ardo;;Вставка в ручку Ardo;u;65;UAH;шт.;1;65;2;;+;;;;;;1.21.0041;;
23.0012;Вставка в ручку Ardo с пружинкой и крючком;;Вставка в ручку Ardo с пружинкой и крючком;u;120;UAH;шт.;1;120;2;;+;;;;;;1.21.0042;;
29.002;Втулка 20*25*14 Indesit Ariston;;Втулка 20*25*14 Indesit Ariston;u;136;UAH;шт.;1;136;2;;+;;;;;;;;
29.001;Втулка 25*30*13,5 Indesit Ariston;;Втулка 25*30*13,5 Indesit Ariston;u;136;UAH;шт.;1;136;2;;+;;;;;;;;
4.2.006;Втулка муфта предохранительная на шнек для мясорубки Zelmer 86.1203;;Втулка муфта предохранительная на шнек для мясорубки Zelmer 86.1203;u;62;UAH;шт.;1;62;2;;+;;;;;;18.52.0006;;
4.2.007;Втулка муфта шнека в сборе для мясорубки Kenwood KW715989;;Втулка муфта шнека в сборе для мясорубки Kenwood KW715989;u;140;UAH;шт.;1;140;2;;+;;;;;;18.52.0020;;
4.2.001;Втулка-предохранитель шнека Bosch 418076 (без упаковки);;Втулка-предохранитель шнека Bosch 418076 (без упаковки);u;122;UAH;шт.;1;122;2;;+;;;;;;18.52.0011;;
4.2.002;Втулка-предохранитель шнека Аксион, Бриз, Liberton (не оригинал);;Втулка-предохранитель шнека Аксион, Бриз, Liberton (не оригинал);u;42;UAH;шт.;1;42;2;;+;;;;;;18.52.0015;;
4.2.003;Втулка-предохранитель шнека Гамма (не оригинал);;Втулка-предохранитель шнека Гамма (не оригинал);u;45;UAH;шт.;1;45;2;;+;;;;;;18.52.0009;;
4.2.004;Втулка-предохранитель шнека для мясорубок Аксион, Бриз, Liberton;;Втулка-предохранитель шнека для мясорубок Аксион, Бриз, Liberton;u;75;UAH;шт.;1;75;2;;+;;;;;;18.52.0014;;
4.2.005;Втулка-предохранитель шнека Эльво;;Втулка-предохранитель шнека Эльво;u;48;UAH;шт.;1;48;2;;+;;;;;;18.52.0008;;
3.3.003;Газовый термостат бойлера 10-75 SANAL;;Газовый термостат бойлера 10-75 SANAL;u;263;UAH;шт.;1;263;2;;+;;;;;;;;
