Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
4.0010	Активатор (ребро барабана) Indesit C00065463		Активатор (ребро барабана) Indesit C00065463	u	125	UAH	шт.	1	105	2		-						4.0010			
4.0009	Активатор (ребро барабана) Indesit C00065463 (не оригинал)		Активатор (ребро барабана) Indesit C00065463 (не оригинал)	u	110	UAH	шт.	1	77	2		+						4.0009			
4.0001	Активатор (ребро барабана) Samsung DC97-02051D		Активатор (ребро барабана) Samsung DC97-02051D	u	185	UAH	шт.	1	139	2		+						4.0001			
4.0002	Активатор (ребро барабана) Whirlpool 481010517566		Активатор (ребро барабана) Whirlpool 481010517566	u	0	UAH	шт.	1	0	2		-						4.0002			
4.0006	Активатор (Ребро) в барабан Elecrolux Zanussi Без груза		Активатор (Ребро) в барабан Elecrolux Zanussi Без груза	u	248	UAH	шт.	1	204	2		+						4.0006			
4.0007	Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал		Активатор(Ребро) в барабан Indesit Ariston C00268109 не оригинал	u	175	UAH	шт.	1	85	2		+						4.0007			
4.0004	Активатор (Ребро) в барабан LG 4432EN2002A		Активатор (Ребро) в барабан LG 4432EN2002A	u	103	UAH	шт.	1	90	2		-						4.0004			
1.007	Амортизатор 100N Samsung DC66-00343G Original		Амортизатор 100N Samsung DC66-00343G Original	u	120	UAH	шт.	1	93	2		+						1.007			
1.020	Амортизатор 120N Bosch Miele 107654		Амортизатор 120N Bosch Miele 107654	u	150	UAH	шт.	1	120	2		+						1.020			
1.022	Амортизатор 120N Miele Bosch		Амортизатор 120N Miele Bosch	u	214	UAH	шт.	1	176	2		+						1.022			
1.017	Амортизатор 40N Samsung DC66-00343E		Амортизатор 40N Samsung DC66-00343E	u	114	UAH	шт.	1	94	2		+						1.017			
