"Код_товара","Название_позиции","Ключевые_слова","Описание","Тип_товара","Цена","Валюта","Единица_измерения","Минимальный_объем_заказа","Оптовая_цена","Минимальный_заказ_опт","Ссылка_изображения","Наличие","Количество","Номер_группы","Название_группы","Адрес_подраздела","Возможность_поставки","Срок_поставки","Способ_упаковки","Уникальный_идентификатор","Идентификатор_товара","Идентификатор_подраздела","Идентификатор_группы","Производитель","Страна_производитель","Скидка","ID_группы_разновидностей","Метки","Продукт_на_сайте"
"LCD-1","LCD панель в сборе","","LCD панель в сборе","u","200.00000","UAH","шт.","","150.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Komplekty-koles-v-sbore","","","","774013166","LCD-1","341509","","","","","","","https://makaev-testovaya.prom.ua/p774013166-lcd-panel-sbore.html"
"App_chrg","Колесо АПП","","Колесо АПП","u","198.00000","UAH","шт.","","148.50000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013167","App_chrg","29","","","","","","","https://makaev-testovaya.prom.ua/p774013167-koleso-app.html"
"Appl_cord","Колесо БПП","","Колесо БПП","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013168","Appl_cord","29","","","","","","","https://makaev-testovaya.prom.ua/p774013168-koleso-bpp.html"
"PWC-767","Контроллер питания","","Контроллер питания","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013169","PWC-767","29","","","","","","","https://makaev-testovaya.prom.ua/p774013169-kontroller-pitaniya.html"
"LP-1","Лампочка","","Лампочка","u","20.00000","UAH","шт.","","15.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Lampochki","","","","774013170","LP-1","150402","","","","","","","https://makaev-testovaya.prom.ua/p774013170-lampochka.html"
"PWR1","Модуль питания","","Модуль питания","u","100.00000","UAH","шт.","","75.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","774013171","PWR1","29","","","","","","","https://makaev-testovaya.prom.ua/p774013171-modul-pitaniya.html"
"10000","Спички для разогрева","","Спички для разогрева","u","50.00000","UAH","шт.","","20.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Spichki","","","","774013172","10000","152607","","","","","","","https://makaev-testovaya.prom.ua/p774013172-spichki-dlya-razogreva.html"
"BLK_IPH5","Труба изогнутая","","Труба изогнутая","u","420.00000","UAH","шт.","","350.00000","2.000","","-","","38405695","Магазин","https://prom.ua/Homuty-zazhimy","","","","774013173","BLK_IPH5","420509","","","","","","","https://makaev-testovaya.prom.ua/p774013173-truba-izognutaya.html"
"A10000","Спички для разогрева","","Спички для разогрева","u","5.00000","UAH","шт.","","2.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Spichki","","","","774841743","A10000","152607","","","","","","","https://makaev-testovaya.prom.ua/p774841743-spichki-dlya-razogreva.html"
"""4.0010""","""Активатор (ребро барабана) Indesit C00065463""","","""Активатор (ребро барабана) Indesit C00065463""","r","125125.00000","UAH","шт.","","105105.00000","2.000","","-","","18673478","Корневая группа","https://prom.ua/Other","","","","781573790","""4.0010-1.68.0007""","29","","","","","","","https://makaev-testovaya.prom.ua/p781573790-aktivator-rebro-barabana.html"
